school_id,month,total_students_observed,total_students_present,avg_attendance_rate,impossible_attendance_records,proxy_attendance_records,attendance_records,attendance_rate,proxy_attendance_rate,school_name,district,block,total_enrolled_students,school_type,medium
SCH0001,2025-04,248,183,73.79032258064517,0,0,1,73.79032258064517,0.0,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-05,308,219,71.4583575215759,0,0,3,71.1038961038961,0.0,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-06,265,260,98.40764331210191,0,1,2,98.11320754716981,50.0,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-07,411,337,80.93414362869233,0,0,3,81.99513381995133,0.0,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-08,689,610,88.36561421377242,0,0,3,88.53410740203192,0.0,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-10,502,431,86.27488797973895,0,0,3,85.85657370517929,0.0,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-11,537,409,76.03533466201627,0,0,3,76.16387337057728,0.0,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-12,405,355,87.18250122758225,0,0,3,87.65432098765432,0.0,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2026-01,250,220,86.88990159170464,0,0,2,88.0,0.0,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2026-02,754,668,90.04113316173738,0,0,4,88.59416445623343,0.0,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2026-03,1204,865,73.36993997170168,0,0,6,71.843853820598,0.0,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0002,2025-04,222,206,92.7927927927928,1,0,2,92.7927927927928,0.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-05,350,321,87.60388962765958,0,0,2,91.71428571428571,0.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-06,441,386,84.61002576856235,0,1,4,87.52834467120182,25.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-07,659,537,80.72489154394634,0,0,3,81.48710166919575,0.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-08,627,568,88.19347578480934,0,0,4,90.59011164274322,0.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-09,343,234,68.95276292335116,0,0,2,68.22157434402332,0.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-10,336,265,77.6853146853147,0,0,2,78.86904761904762,0.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-11,466,403,81.51375955994365,0,1,4,86.48068669527898,25.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-12,553,448,80.87480874808749,2,1,5,81.0126582278481,20.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2026-02,917,657,70.11134130488807,0,0,4,71.64667393675028,0.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2026-03,292,234,80.13698630136986,0,0,1,80.13698630136986,0.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2026-07,278,269,96.76258992805757,0,0,1,96.76258992805755,0.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2026-08,58,52,89.65517241379311,0,0,1,89.65517241379311,0.0,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0003,2025-03,262,207,79.00763358778626,0,0,1,79.00763358778626,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-04,465,416,87.88684465202391,0,0,3,89.46236559139786,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-05,414,368,90.65005417118094,0,0,2,88.88888888888889,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-06,0,0,,1,0,1,,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-07,99,59,59.59595959595959,0,0,1,59.59595959595959,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-08,653,516,77.01729794353088,0,0,3,79.0199081163859,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-09,1381,1080,77.32769996678785,0,0,7,78.20419985517741,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-10,528,438,81.81712446728292,0,0,4,82.95454545454545,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-11,420,296,69.42177582478901,0,0,2,70.47619047619048,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-12,316,250,78.90224358974359,0,0,2,79.11392405063292,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2026-01,487,467,92.83950617283949,0,1,3,95.89322381930184,33.33333333333333,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2026-02,494,336,68.44398480943985,0,0,2,68.0161943319838,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2026-03,58,47,81.03448275862068,0,0,1,81.03448275862068,0.0,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0004,2025-03,0,0,,1,0,1,,0.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-04,255,195,80.44401654542861,0,0,3,76.47058823529412,0.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-05,92,74,80.43478260869566,0,0,1,80.43478260869566,0.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-06,225,207,80.0,0,1,2,92.0,50.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-07,447,357,81.3758389261745,0,0,2,79.86577181208054,0.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-08,258,212,82.17054263565892,0,0,1,82.17054263565892,0.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-09,845,606,71.58436276373087,0,0,5,71.71597633136095,0.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-10,271,213,77.40253584547932,0,0,2,78.59778597785979,0.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-11,317,224,70.89207487056949,1,0,3,70.66246056782335,0.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-12,466,411,81.3952953544911,0,0,3,88.19742489270385,0.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2026-02,275,195,71.20941696413394,1,0,3,70.9090909090909,0.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2026-03,486,330,68.48635184609077,0,0,3,67.90123456790124,0.0,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0005,2025-04,396,299,73.4253666954271,0,0,2,75.5050505050505,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-05,426,334,80.85756657357427,0,0,4,78.40375586854461,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-06,76,51,67.10526315789474,0,0,1,67.10526315789474,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-07,647,543,85.01292140063326,0,0,3,83.9258114374034,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-08,240,216,87.9399796768894,0,0,3,90.0,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-09,162,133,82.09876543209876,0,0,1,82.09876543209876,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-10,211,203,96.2085308056872,0,0,1,96.2085308056872,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-11,526,413,74.97290845217454,0,0,4,78.51711026615969,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-12,237,210,88.60759493670885,0,0,1,88.60759493670885,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2026-01,737,633,82.20597727042625,0,0,4,85.8887381275441,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2026-02,177,147,83.05084745762711,0,0,1,83.05084745762711,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2026-03,198,164,82.82828282828282,0,0,1,82.82828282828282,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2026-05,157,95,60.509554140127385,0,0,1,60.509554140127385,0.0,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0006,2025-01,209,183,87.5598086124402,0,0,1,87.5598086124402,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-03,100,66,66.0,0,0,1,66.0,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-04,685,585,86.29319105691057,0,1,4,85.40145985401459,25.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-05,72,70,97.2222222222222,0,0,1,97.22222222222221,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-06,710,558,81.69841050943377,0,0,3,78.59154929577464,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-07,352,294,85.08598141915286,0,0,4,83.52272727272727,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-08,406,282,73.5702614379085,0,0,2,69.45812807881774,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-09,487,409,82.7696412602073,0,0,3,83.9835728952772,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-10,353,245,68.34552739308423,0,0,2,69.40509915014165,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-11,302,221,72.501611863314,0,0,3,73.17880794701986,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-12,192,121,63.020833333333336,0,0,1,63.020833333333336,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2026-02,73,49,67.12328767123287,0,0,1,67.12328767123287,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2026-03,85,75,88.23529411764706,0,0,1,88.23529411764706,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2026-05,243,162,66.66666666666666,0,0,1,66.66666666666666,0.0,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0007,2025-02,160,107,66.875,0,0,1,66.875,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-03,211,139,65.87677725118483,0,0,1,65.87677725118483,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-04,573,437,76.25304729400293,0,0,2,76.26527050610821,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-05,54,48,88.88888888888889,0,0,1,88.88888888888889,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-06,270,211,77.15591796392388,0,0,2,78.14814814814814,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-07,226,168,74.32644110275689,1,0,3,74.33628318584071,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-08,702,647,93.47947039680108,0,1,5,92.16524216524216,20.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-09,837,611,72.11709862709483,0,0,4,72.99880525686977,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-10,140,113,80.71428571428572,0,0,1,80.71428571428572,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-11,555,371,67.41709029290728,1,0,4,66.84684684684684,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-12,374,290,75.76547381748102,0,0,4,77.54010695187165,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2026-02,287,238,82.92682926829268,0,0,1,82.92682926829268,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2026-03,1261,912,73.65672640644769,0,0,7,72.32355273592387,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2026-05,65,50,76.92307692307693,0,0,1,76.92307692307693,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2026-08,146,95,65.06849315068493,0,0,1,65.06849315068493,0.0,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0008,2025-04,81,63,77.77777777777779,0,0,1,77.77777777777779,0.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-05,592,526,88.87644150345665,0,0,4,88.85135135135135,0.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-06,242,169,69.83471074380165,0,0,1,69.83471074380165,0.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-07,740,535,74.85289287215517,0,0,4,72.2972972972973,0.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-08,394,298,76.46131865726397,0,0,5,75.63451776649747,0.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-09,339,291,83.87862137862139,0,0,2,85.84070796460178,0.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-10,276,231,89.63133640552996,0,1,2,83.69565217391305,50.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-11,467,311,67.54993844565347,0,0,2,66.59528907922912,0.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-12,725,577,78.31105244376528,0,0,5,79.58620689655173,0.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2026-01,625,487,78.62574166914132,0,0,4,77.92,0.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2026-02,455,409,86.60867764316039,1,1,4,89.8901098901099,25.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2026-03,170,128,78.97653194263364,0,0,2,75.29411764705883,0.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2026-06,218,205,94.03669724770644,0,0,1,94.03669724770643,0.0,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0009,2025-02,133,88,66.16541353383458,0,0,1,66.16541353383458,0.0,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi
SCH0009,2025-04,445,433,98.01980198019801,0,1,3,97.30337078651685,33.33333333333333,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi
SCH0009,2025-05,776,621,83.4080890932506,0,1,4,80.0257731958763,25.0,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi
