school_id,month,infrastructure_deficit_pct,electricity_availability,drinking_water_availability,functional_toilet_availability,boundary_wall_availability,playground_availability,infrastructure_records,school_name,district,block,total_enrolled_students,school_type,medium
SCH0001,2025-07,40.0,100.0,100.0,100.0,0.0,0.0,1,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-09,75.0,0.0,100.0,,0.0,0.0,1,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0002,2025-03,40.0,0.0,100.0,100.0,100.0,0.0,1,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-09,20.0,100.0,100.0,100.0,100.0,0.0,1,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2026-03,0.0,100.0,100.0,100.0,100.0,100.0,1,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0003,2025-04,20.0,100.0,100.0,50.0,50.0,100.0,2,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-05,20.0,100.0,100.0,100.0,100.0,0.0,1,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-08,50.0,100.0,,100.0,0.0,0.0,1,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-12,0.0,100.0,100.0,100.0,100.0,100.0,1,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2026-03,0.0,100.0,100.0,100.0,,100.0,1,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0004,2025-08,20.0,100.0,100.0,100.0,100.0,0.0,1,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-10,30.0,50.0,100.0,100.0,50.0,50.0,2,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2026-01,60.0,0.0,0.0,100.0,100.0,0.0,1,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2026-02,20.0,100.0,100.0,100.0,100.0,0.0,1,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0005,2025-04,40.0,0.0,100.0,100.0,100.0,0.0,1,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-06,40.0,50.0,50.0,100.0,0.0,100.0,2,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-10,60.0,0.0,100.0,100.0,0.0,0.0,1,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0006,2025-07,42.5,0.0,50.0,0.0,100.0,100.0,2,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0007,2025-08,20.0,100.0,100.0,100.0,100.0,0.0,1,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-09,20.0,100.0,100.0,100.0,0.0,100.0,1,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2025-12,10.0,100.0,100.0,100.0,50.0,100.0,2,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0007,2026-02,20.0,0.0,100.0,100.0,100.0,100.0,1,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0008,2025-01,40.0,100.0,100.0,0.0,100.0,0.0,1,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-05,20.0,0.0,100.0,100.0,100.0,100.0,1,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-06,20.0,100.0,100.0,100.0,0.0,100.0,1,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-07,33.333333333333336,100.0,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,3,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0008,2025-12,20.0,100.0,100.0,100.0,100.0,0.0,1,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0009,2025-05,40.0,50.0,50.0,0.0,100.0,100.0,2,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi
SCH0009,2025-06,32.5,100.0,100.0,100.0,50.0,0.0,2,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi
SCH0009,2025-07,45.0,100.0,100.0,50.0,0.0,50.0,2,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi
SCH0009,2025-10,52.5,50.0,50.0,50.0,50.0,0.0,2,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi
SCH0010,2025-04,40.0,100.0,100.0,0.0,100.0,0.0,1,Govt. Elementary School Mani,Patiala,Samana,148,Higher Secondary,Hindi
SCH0010,2025-05,40.0,100.0,100.0,100.0,0.0,0.0,1,Govt. Elementary School Mani,Patiala,Samana,148,Higher Secondary,Hindi
SCH0010,2025-12,20.0,100.0,100.0,50.0,50.0,100.0,2,Govt. Elementary School Mani,Patiala,Samana,148,Higher Secondary,Hindi
SCH0010,2026-01,40.0,100.0,100.0,0.0,100.0,0.0,1,Govt. Elementary School Mani,Patiala,Samana,148,Higher Secondary,Hindi
SCH0010,2026-02,40.0,0.0,100.0,100.0,0.0,100.0,1,Govt. Elementary School Mani,Patiala,Samana,148,Higher Secondary,Hindi
SCH0011,2025-06,40.0,100.0,100.0,100.0,0.0,0.0,1,Govt. Senior Secondary School Munshi,Patiala,Samana,422,Higher Secondary,Punjabi
SCH0011,2025-09,20.0,100.0,100.0,100.0,0.0,100.0,1,Govt. Senior Secondary School Munshi,Patiala,Samana,422,Higher Secondary,Punjabi
SCH0011,2026-03,20.0,100.0,100.0,100.0,100.0,0.0,1,Govt. Senior Secondary School Munshi,Patiala,Samana,422,Higher Secondary,Punjabi
SCH0012,2025-07,67.5,50.0,50.0,0.0,50.0,0.0,2,Govt. Elementary School Mand,Ludhiana,Ludhiana-I,118,Higher Secondary,Punjabi
SCH0012,2025-12,20.0,100.0,100.0,0.0,100.0,100.0,1,Govt. Elementary School Mand,Ludhiana,Ludhiana-I,118,Higher Secondary,Punjabi
SCH0013,2025-10,20.0,100.0,100.0,100.0,100.0,0.0,1,Govt. Middle School Contractor,Bathinda,Bathinda,388,Secondary,Punjabi
SCH0013,2026-01,0.0,100.0,100.0,100.0,100.0,100.0,1,Govt. Middle School Contractor,Bathinda,Bathinda,388,Secondary,Punjabi
SCH0014,2025-05,75.0,0.0,100.0,0.0,0.0,,1,Govt. Senior Secondary School Soman,Jalandhar,Phillaur,41,Secondary,Punjabi
SCH0014,2026-01,35.0,100.0,100.0,100.0,0.0,50.0,2,Govt. Senior Secondary School Soman,Jalandhar,Phillaur,41,Secondary,Punjabi
SCH0014,2026-02,60.0,0.0,100.0,0.0,100.0,0.0,1,Govt. Senior Secondary School Soman,Jalandhar,Phillaur,41,Secondary,Punjabi
SCH0014,2026-03,50.0,50.0,100.0,100.0,0.0,0.0,2,Govt. Senior Secondary School Soman,Jalandhar,Phillaur,41,Secondary,Punjabi
SCH0015,2025-07,20.0,100.0,100.0,100.0,0.0,100.0,1,Govt. Primary School Brahmbhatt,Bathinda,Maur,118,Upper Primary,Punjabi
SCH0015,2025-10,20.0,100.0,50.0,100.0,100.0,50.0,2,Govt. Primary School Brahmbhatt,Bathinda,Maur,118,Upper Primary,Punjabi
SCH0015,2026-03,60.0,0.0,100.0,100.0,0.0,0.0,1,Govt. Primary School Brahmbhatt,Bathinda,Maur,118,Upper Primary,Punjabi
SCH0016,2025-05,30.0,100.0,50.0,100.0,50.0,50.0,2,Govt. Senior Secondary School Varughese,Ludhiana,Ludhiana-I,225,Secondary,Punjabi
SCH0016,2025-06,60.0,100.0,0.0,100.0,0.0,0.0,1,Govt. Senior Secondary School Varughese,Ludhiana,Ludhiana-I,225,Secondary,Punjabi
SCH0016,2025-07,0.0,100.0,100.0,100.0,100.0,100.0,2,Govt. Senior Secondary School Varughese,Ludhiana,Ludhiana-I,225,Secondary,Punjabi
SCH0016,2025-08,20.0,100.0,100.0,0.0,100.0,100.0,1,Govt. Senior Secondary School Varughese,Ludhiana,Ludhiana-I,225,Secondary,Punjabi
SCH0017,2025-04,0.0,100.0,100.0,100.0,100.0,100.0,1,Govt. Elementary School Pandit,Amritsar,Tarn Taran,75,Upper Primary,Hindi
SCH0017,2025-05,60.0,100.0,100.0,0.0,0.0,0.0,1,Govt. Elementary School Pandit,Amritsar,Tarn Taran,75,Upper Primary,Hindi
SCH0017,2025-07,20.0,0.0,100.0,100.0,100.0,100.0,1,Govt. Elementary School Pandit,Amritsar,Tarn Taran,75,Upper Primary,Hindi
SCH0017,2025-11,60.0,0.0,0.0,100.0,0.0,100.0,1,Govt. Elementary School Pandit,Amritsar,Tarn Taran,75,Upper Primary,Hindi
