school_id,month,total_mdm_quantity_kg,total_mdm_cost,procurement_records,unique_vendors,school_name,district,block,total_enrolled_students,school_type,medium
SCH0001,2025-04,78.1,11884.0,5,4,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-05,47.7,1908.0,1,1,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-06,0.318,2433.0,2,2,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-07,0.588,2112.0,2,2,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-08,0.276,1242.0,1,1,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-09,37.53,4735.0,3,2,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-10,10700.0,321.0,1,1,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2025-11,0.0,1300.0,1,1,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2026-02,0.0,6336.0,2,2,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0001,2026-03,0.0,2352.0,1,1,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0002,2025-04,0.0,3258.0,1,1,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-05,53931.7,6883.0,4,4,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-06,0.294,1323.0,1,1,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-07,41.7,4383.0,2,2,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-08,0.0,0.0,1,1,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-10,52.1,5427.0,2,2,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2025-11,18.8,1692.0,1,1,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2026-01,19.146,5190.0,3,3,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0002,2026-03,35.0,1050.0,1,1,Govt. Primary School Dewan,Unknown,Tarn Taran,56,Upper Primary,Hindi
SCH0003,2025-05,38241.9,4584.0,2,2,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-06,0.0,2691.0,3,3,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-07,0.8740000000000001,639.0,2,2,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-08,37122.07,8021.0,3,3,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-09,33.0,4866.0,2,2,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2025-12,0.0,816.0,1,1,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2026-01,0.8059999999999999,3627.0,1,1,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2026-02,14.5,1740.0,1,1,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0003,2026-03,0.964,1928.0,1,1,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0004,2025-04,0.85,3825.0,1,1,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-06,56.8,2272.0,1,1,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-07,0.8240000000000001,1236.0,1,1,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-08,96700.0,6748.0,2,2,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-09,0.98,2712.0,2,2,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-10,0.0,6366.0,2,2,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2025-11,11.4,4648.0,3,2,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2026-01,0.0,1704.0,1,1,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2026-02,0.0,2328.0,1,1,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0004,2026-03,1.11,8704.0,2,2,Govt. Elementary School Kaur,Bathinda,Unknown,150,Secondary,English
SCH0005,2025-04,21501.066,7256.0,2,2,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-05,56700.0,0.0,1,1,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-06,0.506,759.0,1,1,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-07,93850.5,4834.0,3,3,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-08,16246.2,6192.0,3,2,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-09,0.794,1191.0,1,1,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-10,29.759999999999998,4237.0,4,3,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-11,23.4,2808.0,1,1,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2025-12,13539.4,8632.0,3,3,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2026-02,14000.0,560.0,2,2,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0005,2026-03,33200.418,3824.0,2,1,Govt. Elementary School Bajwa,Bathinda,Unknown,413,Primary,English
SCH0006,2025-04,34.9,2674.0,2,2,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-05,57701.24,9948.0,4,4,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-06,0.0,576.0,1,1,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-07,0.986,1479.0,1,1,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-08,57.6,6912.0,1,1,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-10,1.484,3354.0,2,2,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-11,77205.3,15255.0,5,5,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2025-12,55701.13,12801.0,3,3,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0006,2026-01,39.4,1182.0,1,1,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
